,count,Random,MostPop,UserKNN,ItemKNN,UserKNN with means,BPR,MF,PMF,NMF,WMF,HPF,NeuMF,VAECF
1448,0.12866666666666668,3,9,0,2,0,11,8,0,1,16,9,12,18
219,0.12866666666666668,1,16,2,15,4,24,20,1,18,15,22,23,26
2073,0.12833333333333333,3,10,2,10,4,8,11,2,8,3,6,8,8
943,0.12833333333333333,2,13,4,10,1,12,8,4,3,13,10,30,18
5285,0.128,1,17,18,14,11,14,15,6,10,10,18,10,13
2117,0.12766666666666668,7,13,3,16,6,15,18,4,9,34,18,46,35
842,0.127,3,7,3,12,5,9,9,0,7,40,8,29,16
216,0.127,3,13,23,10,23,22,14,9,15,26,23,39,25
1655,0.127,3,9,7,8,7,10,12,1,8,45,13,33,22
127,0.12633333333333333,3,17,65,11,54,22,13,54,21,15,27,16,22
2492,0.126,4,6,1,16,1,6,12,0,4,14,3,7,4
2063,0.12566666666666668,7,8,49,9,41,9,7,18,11,6,21,1,9
211,0.12533333333333332,1,5,1,3,1,5,8,0,4,14,2,2,9
264,0.12533333333333332,4,12,15,8,12,19,9,3,12,16,13,18,17
635,0.125,3,5,0,5,0,5,7,0,0,0,2,11,4
708,0.125,3,8,4,8,4,5,10,2,7,17,10,19,11
2779,0.125,4,11,5,9,4,11,11,2,7,16,18,14,15
2355,0.12366666666666666,3,12,10,14,10,13,16,10,8,19,33,24,23
1944,0.12366666666666666,1,5,0,8,0,7,9,0,3,22,4,7,4
1039,0.12366666666666666,0,9,15,4,9,7,8,3,10,26,7,25,6
784,0.12333333333333334,5,3,21,13,23,9,8,7,27,4,25,2,9
